#columns (so you dont have to count them when you plot!
#1=MJD
#2-4=nH, upper limit, lower limit
#5-7=Inner disk temperature, upper limit, lower limit
#8-10=Disk Normalisation, upper limit, lower limit
#11-13=PL index, upper limit, lower limit
#14-16=PL Normalisation, upper limit, lower limit
#17-19=Absorbed 0.6-10 keV flux, upper limit, lower limit
#20-22=Unabsorbed 0.6-10 keV flux, upper limit, lower limit (log10)
#23-25=0.6-10 keV flux of the PL component , upper limit, lower limit (log10)
#26=chi2
#27=degrees of freedom
#MJD	nH	nH_UL	nH_LL	kT	kT_UL	kT_LL	N_d	N_dUL	N_dLL	Gamma	Gamma_ULL	Gamma_LL	N_Gamma	N_GUL	N_GLL	absflux(0.6-10keV)	absflux_UL	absflux_LL	unabsflux(0.6-10keV_log10)	unabsflux_UL	unabsflux_LL	PLflux(0.6-10keV_log10)	PLfl_UL	PLfl_LL	chi2	dof
57092.4162639	0.505917	0.55818	0.43417	0.346359	0.388171	0.317762	2625.7	5485.97	1066.7	4.24392	4.39888	4.01892	1.17184	1.40593	0.876401	1.11429e-09	1.11656e-09	1.06298e-09	-8.51506	-8.45885	-8.59008	-8.58039	-8.49623	-8.71121	267.516	242
57096.4707848	0.64506	0.663057	0.627279	NaN	NaN	NaN	NaN	NaN	NaN	4.45007	4.50021	4.40084	1.83105	1.89884	1.7662	1.10364e-09	1.10957e-09	1.0977e-09	-8.37866	-8.36066	-8.39634	-8.37866	-8.36066	-8.39634	320.381	252
57098.1456714	0.596872	0.639418	0.544445	0.371257	0.407599	0.342254	1988.07	3707.88	1013.04	4.37825	4.50616	4.22393	1.41368	1.62109	1.17038	1.13052e-09	1.13138e-09	1.08421e-09	-8.43684	-8.391	-8.49264	-8.49366	-8.42984	-8.58126	324.124	260
57104.5286785	0.549639	0.610986	0.465987	0.374463	0.43542	0.330552	1700.92	4322.22	598.502	4.36531	4.56207	4.11826	1.26776	1.52779	0.937736	1.08767e-09	1.09495e-09	9.88051e-10	-8.48514	-8.42039	-8.56987	-8.54214	-8.45395	-8.68008	197.337	201
57106.9886455	0.506322	0.555003	0.446217	0.362212	0.39179	0.339258	2522.27	4212.96	1414.92	4.34069	4.49177	4.15499	1.07302	1.26961	0.848446	1.06337e-09	1.06728e-09	1.03241e-09	-8.53255	-8.47992	-8.59583	-8.61525	-8.53658	-8.72288	240.229	249
57108.7960466	0.717727	0.735782	0.699859	NaN	NaN	NaN	NaN	NaN	NaN	4.64748	4.69725	4.59853	2.12028	2.19824	2.04562	1.09355e-09	1.09781e-09	1.08641e-09	-8.30463	-8.28619	-8.3228	-8.30463	-8.28619	-8.3228	351.262	246
57110.2445187	0.615926	0.670108	0.557583	0.406525	0.432675	0.382196	1837.52	2716.41	1258.32	4.74726	4.9678	4.54894	1.27888	1.48803	1.0585	1.05153e-09	1.0532e-09	1.02823e-09	-8.43451	-8.37332	-8.49848	-8.51801	-8.44012	-8.61054	225.378	232
57112.5837917	0.692333	0.710927	0.673926	NaN	NaN	NaN	NaN	NaN	NaN	4.67341	4.72551	4.62217	2.00915	2.08572	1.93587	1.06844e-09	1.07421e-09	1.06245e-09	-8.32646	-8.30728	-8.34539	-8.32646	-8.30728	-8.34539	329.035	232
57114.5718335	0.654183	0.710631	0.606331	0.447486	0.472464	0.420081	913.217	1270.52	670.848	5.11306	5.41281	4.89817	1.51901	1.70659	1.34888	1.0325e-09	1.03681e-09	1.01532e-09	-8.36311	-8.29373	-8.41947	-8.41635	-8.3426	-8.48201	221.036	235
57135.1375298	0.556615	0.608005	0.4636	0.331129	0.41438	0.28581	2167.78	7412.77	381.887	4.46316	4.65288	4.17015	1.17472	1.43201	0.813329	9.26472e-10	9.20942e-10	8.50012e-10	-8.52743	-8.45861	-8.62956	-8.57082	-8.47671	-8.74087	181.581	203
57137.1477316	0.56066	0.639941	0.446231	0.368352	0.419969	0.332394	2258.4	4966.84	905.995	4.38171	4.64891	4.01772	1.01337	1.30888	0.637238	9.29437e-10	9.28011e-10	8.55118e-10	-8.55396	-8.46802	-8.67222	-8.63858	-8.51699	-8.8492	174.535	184
57139.6652916	0.557349	0.599287	0.503794	0.348729	0.407152	0.306245	1353	3642.68	432.488	4.58716	4.7243	4.42469	1.15266	1.31273	0.954351	8.71272e-10	8.71078e-10	8.11518e-10	-8.53735	-8.48965	-8.59788	-8.5735	-8.51019	-8.66239	249.131	222
