#MJD	nH	nH_UL	nH_LL	kT	kT_UL	kT_LL	N_d	N_dUL	N_dLL	Gamma	Gamma_ULL	Gamma_LL	N_Gamma	N_GUL	N_GLL	flux	flux_UL	flux_LL	chi2	dof
54289.816437	0.178692	0.197224	0.160466	NaN	NaN	NaN	NaN	NaN	NaN	1.5809	1.60942	1.55266	0.114304	0.118185	0.110558	7.34786e-10	7.40143e-10	7.27814e-10	519.972	490
54296.7898931	0.150483	0.170652	0.13068	NaN	NaN	NaN	NaN	NaN	NaN	1.57112	1.60254	1.54005	0.128223	0.133011	0.123615	8.43316e-10	8.49871e-10	8.34168e-10	444.564	452
54647.8947161	0.16728	0.183294	0.151507	NaN	NaN	NaN	NaN	NaN	NaN	1.58194	1.60722	1.55693	0.156467	0.161097	0.151987	1.00878e-09	1.01579e-09	1.00117e-09	526.525	536
54650.3591201	0.366773	0.461928	0.262085	0.137818	0.153819	0.126343	128423	340268	33158.9	1.66398	1.71079	1.61575	0.182425	0.195101	0.170008	1.02539e-09	1.03053e-09	1.00766e-09	494.215	533
54653.3140159	0.358227	0.434251	0.275728	0.159572	0.181204	0.146372	49756	127598	12916.8	1.65419	1.69043	1.61719	0.189376	0.199551	0.179388	1.08428e-09	1.08841e-09	1.06813e-09	569.006	621
54657.8674787	0.116755	0.139793	0.0941986	NaN	NaN	NaN	NaN	NaN	NaN	1.57896	1.61779	1.54068	0.199741	0.208606	0.19127	1.31846e-09	1.33431e-09	1.29819e-09	360.136	359
54659.3323329	0.152389	0.169746	0.13529	NaN	NaN	NaN	NaN	NaN	NaN	1.5983	1.62678	1.5701	0.168597	0.174123	0.163256	1.07118e-09	1.07887e-09	1.05895e-09	520.582	491
56202.3614615	0.215168	0.235379	0.195333	NaN	NaN	NaN	NaN	NaN	NaN	1.60847	1.63979	1.57749	0.099177	0.102817	0.0956758	6.07693e-10	6.14907e-10	6.01637e-10	435.482	466
56450.6172824	0.0816169	0.127828	0.037355	NaN	NaN	NaN	NaN	NaN	NaN	1.4954	1.57259	1.42026	0.0470104	0.0512605	0.0431194	3.49274e-10	3.58691e-10	3.40254e-10	163.412	160
56457.3623797	0.192381	0.218206	0.167187	NaN	NaN	NaN	NaN	NaN	NaN	1.58798	1.62756	1.54894	0.0642868	0.0672907	0.061426	4.07542e-10	4.11871e-10	4.01945e-10	388.368	374
56461.556164	0.167607	0.194131	0.141754	NaN	NaN	NaN	NaN	NaN	NaN	1.53213	1.57257	1.49225	0.0532003	0.055767	0.0507591	3.65289e-10	3.70358e-10	3.59972e-10	359.944	366
56473.4389858	0.201946	0.228244	0.176307	NaN	NaN	NaN	NaN	NaN	NaN	1.57344	1.61318	1.53425	0.0520131	0.0544704	0.0496742	3.34719e-10	3.39035e-10	3.29991e-10	365.454	376
57086.9079349	0.54482	0.606426	0.449213	0.3633	0.388159	0.344407	3624.07	5305.38	2166.09	4.21845	4.40498	3.90936	1.11077	1.38806	0.734125	1.16444e-09	1.16535e-09	1.13873e-09	314.78	261
57087.6410205	0.528243	0.597153	0.428775	0.367735	0.413579	0.336011	2558.41	5285.84	1092.3	4.23019	4.44631	3.91234	1.13669	1.43575	0.752045	1.12343e-09	1.12516e-09	1.05241e-09	220.882	213
57090.6146922	0.417747	0.512339	0.276084	0.3117	0.330612	0.297652	7977.92	11224.9	3947.73	3.87698	4.18851	3.25804	0.788919	1.19234	0.325707	1.15202e-09	1.15139e-09	1.13038e-09	212.111	243
57092.4162639	0.505917	0.55818	0.43417	0.346359	0.388171	0.317762	2625.7	5485.97	1066.7	4.24392	4.39888	4.01892	1.17184	1.40593	0.876401	1.11429e-09	1.11275e-09	1.045e-09	267.516	242
